step	time	x	s
0	0.0	0.1	1.0
1	0.1	0.10454545454545455	0.9954545454545455
2	0.2	0.10929554884949076	0.9907044511505093
3	0.30000000000000004	0.11425929437294176	0.9857407056270583
4	0.4	0.1194460777769307	0.9805539222230694
5	0.5	0.12486567404369397	0.9751343259563061
6	0.6	0.13052825972969065	0.9694717402703095
7	0.7	0.13644442629817866	0.9635555737018214
8	0.7999999999999999	0.14262519346780364	0.9573748065321964
9	0.8999999999999999	0.14908202250133604	0.950917977498664
10	0.9999999999999999	0.15582682934419742	0.9441731706558026
11	1.0999999999999999	0.16287199750546835	0.9371280024945318
12	1.2	0.17023039055422795	0.9297696094457721
13	1.3	0.17791536408081077	0.9220846359191893
14	1.4000000000000001	0.18594077694524283	0.9140592230547573
15	1.5000000000000002	0.1943210016029692	0.9056789983970309
16	1.6000000000000003	0.20307093326007858	0.8969290667399216
17	1.7000000000000004	0.2122059975654352	0.887794002434565
18	1.8000000000000005	0.2217421564940635	0.8782578435059367
19	1.9000000000000006	0.23169591201310374	0.8683040879868965
20	2.0000000000000004	0.2420843070465838	0.8579156929534164
21	2.1000000000000005	0.2529249231655598	0.8470750768344404
22	2.2000000000000006	0.2642358743226698	0.8357641256773304
23	2.3000000000000007	0.276035795820837	0.8239642041791632
24	2.400000000000001	0.28834382754975746	0.8116561724502427
25	2.500000000000001	0.3011795903346281	0.798820409665372
26	2.600000000000001	0.31456315401135454	0.7854368459886456
27	2.700000000000001	0.32851499556110675	0.7714850044388933
28	2.800000000000001	0.3430559452916121	0.756944054708388
29	2.9000000000000012	0.3582071186263298	0.7417928813736703
30	3.0000000000000013	0.3739898305340844	0.7260101694659157
31	3.1000000000000014	0.39042548897277773	0.7095745110272224
32	3.2000000000000015	0.4075354628946906	0.6924645371053094
33	3.3000000000000016	0.4253409193191633	0.6746590806808368
34	3.4000000000000017	0.44386262265681753	0.6561373773431826
35	3.5000000000000018	0.46312068778210036	0.6368793122178997
36	3.600000000000002	0.4831342761824031	0.616865723817597
37	3.700000000000002	0.5039212217062612	0.5960787782937389
38	3.800000000000002	0.5254975687777274	0.5745024312222727
39	3.900000000000002	0.5478770011481283	0.5521229988518718
40	4.000000000000002	0.5710701329199297	0.5289298670800704
41	4.100000000000001	0.5950836251476952	0.5049163748523049
42	4.200000000000001	0.6199190800332489	0.4800809199667512
43	4.300000000000001	0.6455716495285844	0.4544283504714157
44	4.4	0.6720282745872547	0.4279717254127455
45	4.5	0.6992654433936351	0.40073455660636503
46	4.6	0.7272463190603395	0.3727536809396606
47	4.699999999999999	0.755917036318505	0.34408296368149505
48	4.799999999999999	0.7852018992186219	0.31479810078137815
49	4.899999999999999	0.8149971256358025	0.2850028743641975
50	4.999999999999998	0.8451626826837011	0.25483731731629894
51	5.099999999999998	0.8755116595585	0.2244883404415
52	5.1999999999999975	0.9057965935601432	0.19420340643985678
53	5.299999999999997	0.9356923697749163	0.1643076302250836
54	5.399999999999997	0.9647761680304724	0.13522383196952747
55	5.4999999999999964	0.9925073569456453	0.10749264305435455
56	5.599999999999996	1.0182160368965367	0.08178396310346311
57	5.699999999999996	1.0411206268755508	0.058879373124449075
58	5.799999999999995	1.0604121587628745	0.03958784123712547
59	5.899999999999995	1.075449080250796	0.02455091974920396
60	5.999999999999995	1.0860484656735445	0.013951534326455503
61	6.099999999999994	1.092696924835854	0.007303075164146085
62	6.199999999999994	1.0964153866606898	0.0035846133393101663
63	6.299999999999994	1.0983124952628982	0.0016875047371017198
64	6.399999999999993	1.0992238203777025	0.0007761796222973655
65	6.499999999999993	1.0996471322818244	0.0003528677181754031
66	6.5999999999999925	1.0998404650600446	0.00015953493995518733
67	6.699999999999992	1.0999280568118728	7.194318812705228e-05
68	6.799999999999992	1.0999675945327345	3.240546726523323e-05
69	6.8999999999999915	1.0999854112410856	1.4588758914101768e-05
70	6.999999999999991	1.0999934337816832	6.566218316395711e-06
71	7.099999999999991	1.099997044943083	2.95505691673082e-06
72	7.19999999999999	1.0999986701719946	1.3298280051489247e-06
73	7.29999999999999	1.0999994015667869	5.984332128310544e-07
74	7.39999999999999	1.0999997307029052	2.692970944949772e-07
75	7.499999999999989	1.099999878815872	1.211841276471186e-07
76	7.599999999999989	1.0999999454670542	5.4532945554653375e-08
77	7.699999999999989	1.0999999754601564	2.45398433426372e-08
78	7.799999999999988	1.0999999889570666	1.1042933117409325e-08
79	7.899999999999988	1.0999999950306791	4.969320634512348e-09
80	7.999999999999988	1.0999999977638053	2.2361944336954348e-09
81	8.099999999999987	1.0999999989937121	1.0062875251663387e-09
82	8.199999999999987	1.0999999995471703	4.5282939240054e-10
83	8.299999999999986	1.0999999997962264	2.0377322781056984e-10
84	8.399999999999986	1.0999999999083017	9.169795276389764e-11
85	8.499999999999986	1.0999999999587355	4.126407879420504e-11
86	8.599999999999985	1.0999999999814307	1.8568835467608622e-11
87	8.699999999999985	1.0999999999916437	8.355975962492695e-12
88	8.799999999999985	1.0999999999962395	3.760189183540648e-12
89	8.899999999999984	1.0999999999983077	1.6920851326781262e-12
90	8.999999999999984	1.0999999999992383	7.614383097223361e-13
91	9.099999999999984	1.099999999999657	3.426472393785301e-13
92	9.199999999999983	1.0999999999998455	1.5419125772104304e-13
93	9.299999999999983	1.0999999999999304	6.938606597461204e-14
94	9.399999999999983	1.0999999999999686	3.1223729688604316e-14
95	9.499999999999982	1.0999999999999857	1.4050678359877794e-14
96	9.599999999999982	1.0999999999999934	6.322805261946194e-15
97	9.699999999999982	1.099999999999997	2.8452623678760283e-15
98	9.799999999999981	1.0999999999999985	1.2803680655442615e-15
99	9.89999999999998	1.0999999999999992	5.761656294949275e-16
100	9.99999999999998	1.0999999999999994	2.5927453327271947e-16
